"lead_id","org_id","lead_source","campaign_id","lead_created_date","converted_flag","converted_member_id","conversion_date"
33,4810,"Paid Ads",530,2017-03-20 20:34:54,0,NA,NA
34,3273,"Website",151,2020-04-22 11:18:24,1,21417,2020-05-02 11:18:24
35,4714,"Email Campaign",21,2023-01-29 06:33:03,1,22790,2023-02-25 06:33:03
36,3979,"Social Media",413,2024-10-25 02:18:32,1,26535,2024-11-10 02:18:32
37,4897,"Conference Booth",436,2024-08-16 07:41:59,0,NA,NA
38,270,"Website",228,2020-07-25 10:25:22,0,NA,NA
39,4947,"Website",377,2019-09-20 13:33:46,0,NA,NA
40,4640,"Social Media",187,2023-10-16 15:26:32,0,NA,NA
41,4020,"Paid Ads",222,2022-08-15 20:02:28,0,NA,NA
42,812,"Paid Ads",183,2019-04-22 18:58:59,0,NA,NA
43,1380,"Referral",157,2024-01-20 13:57:41,0,NA,NA
44,2643,"Email Campaign",6,2020-01-31 16:18:53,1,21236,2020-03-23 16:18:53
45,751,"Email Campaign",400,2022-12-25 17:38:18,0,NA,NA
46,4947,"Webinar",336,2024-11-23 12:23:34,0,NA,NA
47,4199,"Paid Ads",136,2020-04-06 15:56:53,0,NA,NA
48,4820,"Webinar",483,2019-07-25 07:36:56,0,NA,NA
49,626,"Website",164,2021-11-19 11:05:03,0,NA,NA
50,3501,"Conference Booth",389,2021-08-21 23:11:28,0,NA,NA
51,4110,"Social Media",29,2021-04-10 07:46:38,1,23790,2021-06-21 07:46:38
52,4563,"Paid Ads",96,2022-12-07 21:43:43,1,24616,2023-01-27 21:43:43
53,1349,"Referral",497,2023-05-25 11:27:31,1,22407,2023-06-09 11:27:31
54,3865,"Website",569,2020-01-20 13:52:16,1,25345,2020-03-23 13:52:16
55,2244,"Website",325,2020-10-31 08:49:48,0,NA,NA
56,1632,"Website",423,2024-05-16 23:43:21,1,6367,2024-07-23 23:43:21
57,445,"Referral",200,2022-11-01 09:42:46,0,NA,NA
58,4748,"Referral",227,2017-08-17 01:54:43,0,NA,NA
59,4087,"Paid Ads",127,2020-07-09 19:04:12,0,NA,NA
60,4616,"Referral",346,2021-04-26 22:02:24,0,NA,NA
61,117,"Social Media",236,2024-04-20 03:27:42,0,NA,NA
62,4854,"Paid Ads",551,2021-09-28 04:52:00,0,NA,NA
63,3744,"Website",349,2024-09-14 02:13:11,1,23958,2024-10-24 02:13:11
64,207,"Paid Ads",121,2021-12-18 05:56:03,0,NA,NA
65,4913,"Conference Booth",293,2024-01-27 13:55:53,0,NA,NA
66,872,"Paid Ads",48,2020-04-24 03:11:46,0,NA,NA
67,2783,"Website",206,2021-09-02 10:21:12,0,NA,NA
68,3888,"Paid Ads",52,2022-08-30 16:59:13,1,29415,2022-11-24 16:59:13
69,777,"Conference Booth",296,2020-08-19 15:57:31,0,NA,NA
70,2122,"Referral",386,2023-06-16 03:12:20,1,29126,2023-07-05 03:12:20
71,3664,"Webinar",373,2019-08-12 11:01:21,1,29035,2019-10-18 11:01:21
72,3856,"Paid Ads",434,2021-08-09 15:09:54,0,NA,NA
73,1387,"Email Campaign",89,2018-06-06 11:54:44,0,NA,NA
74,4749,"Website",589,2023-06-20 19:51:08,1,23847,2023-07-09 19:51:08
75,1809,"Conference Booth",355,2018-05-16 20:17:05,0,NA,NA
76,2849,"Website",145,2021-06-22 01:48:14,0,NA,NA
77,2920,"Social Media",22,2017-06-29 06:16:31,1,2730,2017-09-12 06:16:31
78,544,"Email Campaign",582,2022-04-16 12:33:26,0,NA,NA
79,1912,"Referral",358,2023-04-24 06:57:17,0,NA,NA
80,3663,"Website",508,2023-06-18 18:25:21,0,NA,NA
81,738,"Website",384,2017-03-28 21:25:13,1,16985,2017-06-17 21:25:13
82,1680,"Referral",122,2023-08-27 18:19:39,0,NA,NA
83,3211,"Website",232,2019-11-22 12:41:50,0,NA,NA
84,2017,"Email Campaign",499,2020-03-09 09:56:36,0,NA,NA
85,2245,"Conference Booth",17,2022-07-21 08:37:24,0,NA,NA
86,4291,"Webinar",110,2021-03-19 23:54:42,0,NA,NA
87,1104,"Social Media",153,2019-04-27 05:10:41,0,NA,NA
88,2897,"Website",570,2022-10-23 17:57:27,0,NA,NA
89,2460,"Webinar",368,2024-05-17 08:15:33,1,5778,2024-06-21 08:15:33
90,1498,"Email Campaign",595,2023-07-20 10:53:13,0,NA,NA
91,1348,"Conference Booth",257,2024-02-22 02:45:51,0,NA,NA
92,2949,"Paid Ads",490,2020-04-26 02:23:59,0,NA,NA
93,1706,"Conference Booth",316,2017-08-29 07:22:52,1,20360,2017-10-05 07:22:52
94,2697,"Email Campaign",328,2023-11-16 15:07:43,0,NA,NA
95,4149,"Email Campaign",120,2019-10-18 08:33:54,1,2195,2019-11-09 08:33:54
96,751,"Referral",548,2017-06-23 09:18:54,0,NA,NA
97,3949,"Referral",136,2019-12-21 02:04:57,0,NA,NA
98,2752,"Referral",84,2018-11-02 00:06:24,0,NA,NA
99,2638,"Referral",516,2017-11-22 19:14:06,0,NA,NA
100,258,"Conference Booth",226,2022-09-25 05:56:57,0,NA,NA
101,2633,"Webinar",337,2022-02-16 11:59:06,0,NA,NA
102,4812,"Email Campaign",98,2018-08-20 01:39:16,0,NA,NA
103,3699,"Conference Booth",498,2021-05-08 13:56:12,0,NA,NA
104,414,"Paid Ads",318,2022-01-15 04:30:56,0,NA,NA
105,2397,"Paid Ads",108,2018-12-09 11:40:48,1,16826,2018-12-29 11:40:48
106,1457,"Website",382,2023-04-16 12:40:50,0,NA,NA
107,3826,"Paid Ads",250,2019-05-29 23:05:21,0,NA,NA
108,2182,"Webinar",207,2020-09-01 00:54:28,1,26837,2020-09-28 00:54:28
109,3577,"Webinar",472,2017-12-15 22:28:13,0,NA,NA
110,2522,"Paid Ads",468,2022-03-06 02:49:47,0,NA,NA
111,153,"Referral",235,2023-12-17 04:23:55,0,NA,NA
112,4017,"Referral",332,2017-03-18 07:31:07,0,NA,NA
113,2828,"Social Media",78,2021-06-11 04:27:16,1,29358,2021-09-04 04:27:16
114,2285,"Website",529,2021-07-24 22:41:26,1,14757,2021-10-10 22:41:26
115,216,"Paid Ads",470,2023-12-13 10:50:44,0,NA,NA
116,1696,"Website",344,2022-01-04 00:59:02,1,19321,2022-02-25 00:59:02
117,3956,"Webinar",289,2023-01-05 10:32:55,1,23167,2023-02-04 10:32:55
118,2502,"Website",456,2017-12-05 16:08:27,0,NA,NA
119,1678,"Website",480,2019-03-31 12:00:16,1,21214,2019-06-11 12:00:16
120,3164,"Website",51,2019-11-19 08:34:11,0,NA,NA
121,556,"Webinar",164,2019-06-06 01:19:12,1,10652,2019-07-22 01:19:12
122,2106,"Referral",266,2022-01-29 04:47:54,1,1727,2022-04-25 04:47:54
123,4860,"Paid Ads",192,2021-05-07 16:21:49,0,NA,NA
124,3691,"Website",82,2019-10-28 00:50:51,0,NA,NA
125,2780,"Paid Ads",479,2024-08-16 12:31:49,0,NA,NA
126,1917,"Conference Booth",575,2021-06-21 16:53:07,0,NA,NA
127,4648,"Webinar",282,2022-07-26 11:07:04,1,20524,2022-09-19 11:07:04
128,1792,"Webinar",251,2019-04-13 13:19:12,1,17724,2019-05-24 13:19:12
129,4108,"Email Campaign",320,2018-03-13 10:19:57,0,NA,NA
130,2563,"Email Campaign",289,2021-03-01 02:59:34,0,NA,NA
131,4278,"Paid Ads",178,2023-08-16 20:54:47,0,NA,NA
132,1660,"Referral",408,2023-04-21 20:01:20,0,NA,NA
133,3097,"Referral",179,2018-12-04 14:33:30,0,NA,NA
134,2604,"Webinar",428,2018-08-13 10:08:51,0,NA,NA
135,1610,"Email Campaign",436,2018-01-31 03:31:57,1,12023,2018-04-12 03:31:57
136,2177,"Conference Booth",17,2020-12-12 05:38:24,0,NA,NA
137,3317,"Conference Booth",311,2020-12-26 23:57:01,0,NA,NA
138,4469,"Referral",44,2020-04-14 15:05:30,0,NA,NA
139,2148,"Website",599,2023-11-20 17:18:06,0,NA,NA
140,2260,"Paid Ads",77,2019-09-15 16:10:58,1,4722,2019-10-19 16:10:58
141,2893,"Email Campaign",123,2022-08-05 21:46:44,1,17336,2022-09-22 21:46:44
142,1701,"Website",494,2020-10-22 10:14:40,0,NA,NA
143,2091,"Conference Booth",502,2021-05-23 15:42:24,0,NA,NA
144,54,"Website",225,2023-10-10 06:10:46,0,NA,NA
145,4754,"Paid Ads",16,2019-01-27 19:48:21,0,NA,NA
146,1817,"Webinar",150,2017-06-16 14:29:02,0,NA,NA
147,2465,"Email Campaign",155,2023-06-02 02:52:36,0,NA,NA
148,2146,"Paid Ads",502,2018-08-18 09:25:36,0,NA,NA
149,4583,"Webinar",90,2020-02-07 05:41:11,0,NA,NA
150,4597,"Webinar",196,2023-06-19 21:50:24,0,NA,NA
151,3804,"Email Campaign",148,2021-09-17 04:01:14,1,11610,2021-11-06 04:01:14
152,82,"Webinar",474,2024-03-24 17:21:36,0,NA,NA
153,2538,"Website",196,2022-05-06 22:18:03,0,NA,NA
154,1626,"Paid Ads",600,2021-03-19 12:54:01,0,NA,NA
155,1511,"Email Campaign",267,2017-06-27 05:48:42,1,29994,2017-08-21 05:48:42
156,1239,"Email Campaign",351,2020-12-20 07:55:34,0,NA,NA
157,2324,"Website",479,2023-02-14 01:59:32,0,NA,NA
158,2803,"Social Media",464,2024-06-11 00:56:52,1,2888,2024-08-06 00:56:52
159,2401,"Email Campaign",546,2024-02-29 16:47:41,0,NA,NA
160,746,"Website",97,2019-07-27 14:08:25,0,NA,NA
161,333,"Referral",543,2017-10-07 08:22:15,0,NA,NA
162,2802,"Conference Booth",42,2023-02-12 21:09:22,0,NA,NA
163,4345,"Website",220,2019-06-02 21:43:12,0,NA,NA
164,3020,"Conference Booth",425,2018-09-23 13:59:48,0,NA,NA
165,4995,"Conference Booth",136,2024-05-31 01:57:31,0,NA,NA
166,2764,"Webinar",78,2023-09-02 05:41:26,1,11739,2023-10-18 05:41:26
167,561,"Webinar",571,2023-02-06 21:31:05,0,NA,NA
168,3222,"Webinar",342,2023-06-07 04:01:47,0,NA,NA
169,3499,"Email Campaign",582,2020-08-03 04:21:11,0,NA,NA
170,4402,"Referral",406,2024-11-25 07:41:42,0,NA,NA
171,3025,"Website",544,2019-06-08 11:09:26,0,NA,NA
172,4717,"Conference Booth",310,2017-09-16 01:04:12,0,NA,NA
173,4411,"Social Media",208,2017-09-09 18:18:38,0,NA,NA
174,2730,"Referral",290,2017-08-15 21:14:53,0,NA,NA
175,3594,"Paid Ads",369,2023-09-16 23:28:24,0,NA,NA
176,381,"Email Campaign",154,2024-07-03 16:35:28,0,NA,NA
177,4303,"Webinar",315,2020-04-14 00:53:35,0,NA,NA
178,1094,"Webinar",521,2020-10-14 22:44:43,0,NA,NA
179,4321,"Email Campaign",503,2022-07-16 08:20:55,1,3487,2022-08-02 08:20:55
180,4325,"Conference Booth",287,2023-12-16 22:35:20,0,NA,NA
181,4011,"Paid Ads",153,2023-04-04 19:13:21,0,NA,NA
182,898,"Website",161,2024-10-01 09:04:03,0,NA,NA
183,3199,"Email Campaign",314,2021-07-03 03:16:55,1,4775,2021-09-21 03:16:55
184,3890,"Website",498,2023-04-07 02:09:59,1,29939,2023-05-09 02:09:59
185,332,"Social Media",329,2020-10-31 23:26:42,0,NA,NA
186,4528,"Paid Ads",265,2023-02-14 07:03:44,0,NA,NA
187,4586,"Email Campaign",548,2021-07-24 03:55:34,1,4187,2021-09-13 03:55:34
188,3877,"Webinar",126,2019-02-28 01:36:32,0,NA,NA
189,4530,"Email Campaign",247,2023-02-11 18:57:01,0,NA,NA
190,1978,"Website",190,2018-04-08 00:51:50,0,NA,NA
191,585,"Webinar",139,2017-02-07 05:28:55,0,NA,NA
192,4890,"Website",488,2020-08-27 14:14:42,1,10599,2020-10-19 14:14:42
193,4852,"Paid Ads",73,2024-11-06 13:14:38,1,5985,2025-01-23 13:14:38
194,824,"Paid Ads",448,2019-05-05 16:12:25,0,NA,NA
195,1095,"Email Campaign",187,2017-06-10 18:42:03,0,NA,NA
196,1815,"Email Campaign",301,2023-02-27 23:41:47,0,NA,NA
197,435,"Paid Ads",86,2020-01-26 18:18:21,0,NA,NA
198,146,"Email Campaign",356,2023-10-30 15:00:15,1,16803,2023-11-25 15:00:15
199,37,"Website",410,2021-09-29 19:17:53,1,21003,2021-12-20 19:17:53
200,644,"Conference Booth",387,2019-05-06 19:34:53,1,18619,2019-06-16 19:34:53
201,1695,"Email Campaign",320,2022-12-20 14:29:07,0,NA,NA
202,2792,"Referral",143,2020-07-27 08:13:36,0,NA,NA
203,3500,"Email Campaign",97,2018-11-09 08:25:02,0,NA,NA
204,285,"Website",56,2020-11-20 08:43:20,1,7655,2020-12-14 08:43:20
205,2214,"Conference Booth",293,2023-12-14 14:11:26,0,NA,NA
206,798,"Referral",534,2024-10-04 04:35:03,0,NA,NA
207,573,"Website",431,2021-05-25 23:56:40,0,NA,NA
208,3500,"Referral",560,2020-02-19 13:06:53,0,NA,NA
209,702,"Conference Booth",369,2023-05-12 07:24:32,0,NA,NA
210,4139,"Social Media",361,2020-02-27 01:36:58,0,NA,NA
211,35,"Webinar",342,2018-04-21 17:40:21,0,NA,NA
212,426,"Conference Booth",344,2021-03-13 00:16:32,0,NA,NA
213,3117,"Webinar",248,2022-03-21 05:38:07,0,NA,NA
214,3978,"Email Campaign",209,2024-06-01 05:48:06,0,NA,NA
215,3587,"Paid Ads",364,2019-07-29 02:38:33,0,NA,NA
216,40,"Paid Ads",55,2021-03-18 04:19:16,0,NA,NA
217,1505,"Paid Ads",470,2021-03-26 14:52:23,0,NA,NA
218,3958,"Webinar",555,2017-10-05 21:28:45,0,NA,NA
219,3554,"Referral",52,2023-07-21 22:40:05,0,NA,NA
220,2641,"Webinar",364,2017-12-02 17:12:00,1,21434,2018-01-21 17:12:00
221,1659,"Conference Booth",500,2019-01-17 09:10:19,0,NA,NA
222,3816,"Website",60,2022-06-20 10:15:08,0,NA,NA
223,3306,"Website",411,2020-06-25 20:11:11,0,NA,NA
224,1181,"Website",186,2020-08-11 16:08:43,0,NA,NA
225,3054,"Webinar",578,2022-03-02 09:04:38,0,NA,NA
226,944,"Referral",571,2018-04-16 17:07:56,0,NA,NA
227,1111,"Conference Booth",135,2020-02-25 23:26:13,1,21493,2020-05-18 23:26:13
228,648,"Email Campaign",495,2018-08-15 06:10:21,0,NA,NA
229,1981,"Website",495,2019-04-24 20:14:26,1,12285,2019-05-12 20:14:26
230,4685,"Email Campaign",291,2018-05-18 18:37:11,0,NA,NA
231,3547,"Paid Ads",538,2021-07-20 15:25:22,1,3914,2021-08-20 15:25:22
232,2185,"Website",236,2021-12-08 23:39:58,0,NA,NA
233,663,"Website",539,2022-07-01 23:38:52,0,NA,NA
234,4370,"Website",151,2017-08-31 23:26:31,0,NA,NA
235,4043,"Paid Ads",41,2017-09-13 01:22:53,0,NA,NA
236,3309,"Website",320,2024-08-14 01:29:56,0,NA,NA
237,3328,"Paid Ads",485,2019-07-24 18:23:53,0,NA,NA
238,1465,"Paid Ads",561,2024-01-24 00:48:02,0,NA,NA
239,792,"Webinar",60,2019-03-13 10:02:47,0,NA,NA
240,1747,"Email Campaign",298,2022-03-03 06:15:41,0,NA,NA
241,2131,"Website",224,2024-03-17 14:25:53,1,15686,2024-04-29 14:25:53
242,1886,"Website",52,2017-03-25 21:03:58,1,13609,2017-06-02 21:03:58
243,4118,"Email Campaign",148,2017-07-03 10:41:47,1,21872,2017-09-24 10:41:47
244,2601,"Webinar",390,2018-04-16 13:04:42,0,NA,NA
245,371,"Webinar",364,2024-01-20 05:28:41,0,NA,NA
246,1456,"Webinar",9,2017-10-29 17:58:56,1,1419,2017-12-06 17:58:56
247,3250,"Conference Booth",39,2019-07-09 21:19:03,0,NA,NA
248,3431,"Paid Ads",437,2018-03-02 08:28:39,1,5064,2018-04-08 08:28:39
249,2603,"Conference Booth",287,2024-10-15 20:33:07,1,18337,2024-11-01 20:33:07
250,2305,"Email Campaign",192,2021-03-16 09:21:58,1,26678,2021-05-03 09:21:58
251,3227,"Website",569,2020-11-27 00:40:18,0,NA,NA
252,2665,"Website",16,2024-07-17 00:10:48,0,NA,NA
253,1886,"Email Campaign",389,2022-03-14 06:14:20,1,17363,2022-04-19 06:14:20
254,3272,"Email Campaign",280,2017-08-25 20:21:20,0,NA,NA
255,3996,"Paid Ads",434,2022-12-07 15:18:20,0,NA,NA
256,4938,"Social Media",115,2020-08-19 05:01:43,0,NA,NA
257,1853,"Email Campaign",320,2020-05-01 22:14:46,1,15625,2020-07-12 22:14:46
258,3673,"Email Campaign",220,2017-09-07 14:08:12,0,NA,NA
259,330,"Website",338,2021-09-09 05:32:12,0,NA,NA
260,2901,"Email Campaign",319,2024-07-20 23:09:40,0,NA,NA
261,1571,"Webinar",404,2024-01-27 02:47:07,0,NA,NA
262,3197,"Email Campaign",394,2022-05-11 11:53:27,1,13718,2022-08-02 11:53:27
263,469,"Website",372,2022-01-04 04:06:53,0,NA,NA
264,2478,"Email Campaign",339,2019-02-13 04:33:42,0,NA,NA
265,3097,"Email Campaign",28,2024-11-25 04:35:34,1,24340,2025-02-21 04:35:34
266,1475,"Paid Ads",514,2022-03-03 08:15:16,0,NA,NA
267,2587,"Social Media",438,2021-10-19 08:20:54,0,NA,NA
268,881,"Website",44,2021-10-06 16:20:28,0,NA,NA
269,3156,"Webinar",192,2021-10-15 19:41:18,0,NA,NA
270,74,"Paid Ads",70,2024-08-31 22:24:12,0,NA,NA
271,3574,"Webinar",468,2024-10-04 23:18:18,1,29942,2024-12-17 23:18:18
272,2849,"Conference Booth",52,2019-12-20 16:23:25,1,23528,2020-01-08 16:23:25
273,626,"Social Media",15,2018-10-05 03:08:09,1,26263,2018-12-25 03:08:09
274,1399,"Website",561,2017-08-06 15:29:52,1,23760,2017-10-27 15:29:52
275,4247,"Website",510,2018-07-27 12:23:52,0,NA,NA
276,3566,"Conference Booth",5,2023-05-25 18:56:57,0,NA,NA
277,1820,"Email Campaign",349,2017-11-18 03:12:03,1,6345,2017-12-09 03:12:03
278,895,"Email Campaign",112,2019-08-09 05:21:24,0,NA,NA
279,1721,"Website",299,2021-07-11 09:45:42,0,NA,NA
280,3918,"Email Campaign",423,2018-01-16 06:08:05,1,26507,2018-03-30 06:08:05
281,1632,"Referral",320,2021-12-06 18:17:41,1,10009,2022-02-17 18:17:41
282,1143,"Webinar",449,2024-11-17 07:11:38,0,NA,NA
283,1924,"Website",389,2023-12-14 20:05:58,0,NA,NA
284,42,"Website",506,2023-01-16 00:28:14,0,NA,NA
285,2371,"Website",190,2018-10-26 21:40:24,0,NA,NA
286,2418,"Email Campaign",358,2017-06-14 19:46:09,0,NA,NA
287,889,"Webinar",342,2022-05-29 00:20:36,0,NA,NA
288,1114,"Paid Ads",210,2017-02-24 23:57:58,0,NA,NA
289,1348,"Webinar",306,2023-02-12 09:08:16,0,NA,NA
290,2634,"Referral",448,2022-09-26 12:20:22,0,NA,NA
291,3533,"Conference Booth",99,2024-02-18 05:15:52,0,NA,NA
292,895,"Website",1,2020-11-18 12:15:20,0,NA,NA
293,3365,"Paid Ads",550,2024-12-01 02:40:47,1,22278,2025-02-24 02:40:47
294,3897,"Webinar",414,2024-09-26 17:28:22,0,NA,NA
295,4002,"Conference Booth",520,2017-07-04 09:01:00,0,NA,NA
296,675,"Webinar",370,2021-12-26 09:16:14,0,NA,NA
297,2614,"Paid Ads",262,2018-11-11 11:00:11,1,28786,2019-01-30 11:00:11
298,1120,"Webinar",258,2023-10-04 08:48:57,0,NA,NA
299,3963,"Conference Booth",404,2024-12-22 23:07:49,0,NA,NA
300,1710,"Referral",555,2020-03-08 23:14:53,0,NA,NA
301,3721,"Webinar",85,2020-12-26 05:40:29,0,NA,NA
302,4874,"Referral",147,2023-02-27 05:14:33,0,NA,NA
303,1541,"Paid Ads",370,2017-06-06 15:18:08,0,NA,NA
304,3279,"Webinar",333,2020-09-08 19:18:53,0,NA,NA
305,1442,"Email Campaign",558,2017-07-07 08:21:41,0,NA,NA
306,3964,"Referral",126,2019-03-09 04:39:15,1,12410,2019-04-17 04:39:15
307,621,"Conference Booth",594,2021-12-07 06:30:27,0,NA,NA
308,774,"Conference Booth",463,2021-07-31 18:47:56,0,NA,NA
309,1695,"Paid Ads",283,2020-02-13 05:37:33,1,25164,2020-05-04 05:37:33
310,1663,"Email Campaign",406,2021-09-18 17:59:51,0,NA,NA
311,3773,"Email Campaign",361,2024-02-13 21:49:03,0,NA,NA
312,1605,"Conference Booth",523,2023-01-14 23:19:52,0,NA,NA
313,2754,"Website",415,2021-06-21 20:38:24,0,NA,NA
314,2505,"Email Campaign",475,2022-03-02 18:41:15,1,24326,2022-04-21 18:41:15
315,1171,"Website",351,2021-01-11 17:07:50,1,21809,2021-02-16 17:07:50
316,4216,"Website",442,2023-08-18 14:17:51,0,NA,NA
317,4030,"Email Campaign",462,2022-02-09 01:49:42,0,NA,NA
318,3426,"Paid Ads",269,2024-02-06 01:27:54,0,NA,NA
319,1420,"Webinar",578,2022-02-15 23:14:36,0,NA,NA
320,4691,"Website",50,2023-09-27 18:22:51,0,NA,NA
321,980,"Email Campaign",324,2019-12-18 15:21:26,0,NA,NA
322,4536,"Conference Booth",310,2021-05-20 15:12:28,0,NA,NA
323,1798,"Webinar",264,2022-08-10 12:21:23,0,NA,NA
324,261,"Email Campaign",16,2023-05-30 00:58:35,0,NA,NA
325,1346,"Paid Ads",71,2024-11-04 11:32:53,1,23745,2024-12-16 11:32:53
326,3793,"Social Media",559,2017-08-04 18:01:15,0,NA,NA
327,1992,"Website",475,2018-08-14 16:48:58,0,NA,NA
328,1926,"Email Campaign",559,2020-12-16 02:43:05,0,NA,NA
329,3330,"Website",322,2021-01-23 23:08:15,0,NA,NA
330,4792,"Email Campaign",547,2023-09-03 15:45:51,0,NA,NA
331,3447,"Website",596,2023-04-29 12:22:04,0,NA,NA
332,3040,"Webinar",457,2024-11-12 02:22:35,1,1527,2025-01-21 02:22:35
333,4981,"Conference Booth",490,2024-06-07 05:37:44,0,NA,NA
334,2143,"Conference Booth",471,2024-04-17 20:12:51,0,NA,NA
335,331,"Webinar",540,2019-12-20 22:45:53,0,NA,NA
336,3698,"Email Campaign",117,2020-12-03 21:39:45,0,NA,NA
337,4041,"Website",220,2021-11-06 14:38:19,1,29165,2021-11-21 14:38:19
338,3120,"Website",134,2023-06-27 10:56:46,0,NA,NA
339,3340,"Email Campaign",566,2023-11-09 04:13:52,0,NA,NA
340,938,"Webinar",468,2023-10-21 07:57:45,0,NA,NA
341,1424,"Paid Ads",598,2019-04-09 11:15:34,0,NA,NA
342,383,"Paid Ads",512,2019-07-13 08:59:17,0,NA,NA
343,1568,"Website",46,2022-04-20 06:52:20,0,NA,NA
344,4856,"Website",48,2023-06-19 01:05:22,0,NA,NA
345,1534,"Webinar",460,2024-09-28 21:46:34,0,NA,NA
346,3058,"Email Campaign",93,2022-03-06 15:25:14,0,NA,NA
347,1425,"Referral",496,2021-01-14 13:33:30,0,NA,NA
348,235,"Website",552,2022-06-08 18:05:38,0,NA,NA
349,3737,"Email Campaign",101,2021-11-24 09:39:06,0,NA,NA
350,949,"Email Campaign",404,2019-06-28 18:34:51,0,NA,NA
351,4672,"Website",399,2023-08-11 20:19:12,0,NA,NA
352,3496,"Webinar",328,2024-06-26 01:44:44,1,4360,2024-08-26 01:44:44
353,1551,"Conference Booth",228,2020-07-07 11:43:42,0,NA,NA
354,1023,"Website",453,2022-08-10 16:57:36,0,NA,NA
355,58,"Email Campaign",87,2022-11-27 16:41:16,0,NA,NA
356,1379,"Webinar",189,2022-07-06 13:31:53,0,NA,NA
357,3889,"Website",444,2022-12-05 04:43:57,0,NA,NA
358,3284,"Social Media",402,2022-07-30 15:23:42,0,NA,NA
359,4432,"Website",421,2020-01-02 16:14:28,1,3921,2020-02-19 16:14:28
360,690,"Conference Booth",224,2024-05-30 08:05:39,0,NA,NA
361,1315,"Email Campaign",151,2021-11-01 18:44:07,0,NA,NA
362,1776,"Website",412,2022-06-04 15:17:13,0,NA,NA
363,2972,"Website",464,2022-05-06 08:15:54,0,NA,NA
364,683,"Email Campaign",322,2020-09-07 21:10:51,0,NA,NA
365,1391,"Website",96,2023-12-09 10:06:03,1,23800,2024-01-16 10:06:03
366,3172,"Website",348,2021-04-07 01:07:04,0,NA,NA
367,2083,"Website",167,2024-08-11 12:19:27,1,2936,2024-08-25 12:19:27
368,4111,"Website",227,2024-09-28 05:57:20,1,19894,2024-10-31 05:57:20
369,3540,"Referral",577,2017-12-21 18:14:41,0,NA,NA
370,2211,"Email Campaign",555,2021-04-21 11:49:23,0,NA,NA
371,2052,"Email Campaign",520,2022-01-16 20:15:01,0,NA,NA
372,1207,"Webinar",40,2022-02-12 01:09:13,0,NA,NA
373,2491,"Email Campaign",40,2020-07-21 19:25:38,0,NA,NA
374,236,"Email Campaign",71,2017-10-19 20:23:25,0,NA,NA
375,3066,"Webinar",404,2024-05-09 09:24:13,0,NA,NA
376,2488,"Paid Ads",207,2022-08-26 22:49:20,0,NA,NA
377,3132,"Paid Ads",475,2017-04-03 22:55:39,1,5387,2017-04-15 22:55:39
378,2628,"Paid Ads",2,2021-11-28 11:34:35,0,NA,NA
379,388,"Webinar",371,2022-02-03 18:40:26,1,17982,2022-03-24 18:40:26
380,2131,"Website",346,2017-03-23 10:36:39,0,NA,NA
