"org_id","org_name","org_type","org_size_band","state","created_date"
178,"Practice_178","Pediatrics","Solo","NY",2019-01-30 16:32:03
179,"Practice_179","Family Medicine","2-5","FL",2015-10-27 02:04:05
180,"Practice_180","Dental","6-20","CA",2018-12-02 17:22:24
181,"Practice_181","Pediatrics","Solo","NC",2017-11-14 23:41:09
182,"Practice_182","Dental","6-20","GA",2020-06-02 23:50:40
183,"Practice_183","Family Medicine","Solo","FL",2019-11-08 02:45:33
184,"Practice_184","Family Medicine","6-20","FL",2022-12-20 04:38:37
185,"Practice_185","Pediatrics","6-20","NY",2016-03-20 03:09:21
186,"Practice_186","Orthopedics","6-20","CA",2023-01-04 03:24:13
187,"Practice_187","Family Medicine","2-5","WA",2023-11-20 02:41:19
188,"Practice_188","Physical Therapy","Solo","NY",2018-08-09 11:07:09
189,"Practice_189","Physical Therapy","6-20","AZ",2023-03-30 01:39:27
190,"Practice_190","Dental","Solo","FL",2016-02-01 11:31:49
191,"Practice_191","Dental","Solo","NC",2023-06-01 03:35:17
192,"Practice_192","Family Medicine","2-5","NC",2018-10-08 03:23:03
193,"Practice_193","Family Medicine","6-20","NY",2024-03-25 15:40:19
194,"Practice_194","Orthopedics","6-20","AZ",2016-08-08 05:08:50
195,"Practice_195","Pediatrics","Solo","TX",2023-04-17 17:01:57
196,"Practice_196","Pediatrics","6-20","CO",2020-02-01 01:32:09
197,"Practice_197","Orthopedics","2-5","GA",2016-05-23 09:04:40
198,"Practice_198","Family Medicine","Solo","GA",2016-07-16 22:42:18
199,"Practice_199","Family Medicine","Solo","TX",2017-11-01 14:58:45
200,"Practice_200","Family Medicine","Solo","FL",2016-07-18 02:50:37
201,"Practice_201","Orthopedics","Solo","WA",2019-10-06 23:44:18
202,"Practice_202","Dental","20+","CA",2023-03-06 20:23:06
203,"Practice_203","Dental","2-5","TX",2020-04-20 14:29:08
204,"Practice_204","Family Medicine","2-5","AZ",2017-02-21 14:34:01
205,"Practice_205","Orthopedics","20+","NC",2019-04-22 13:02:32
206,"Practice_206","Dental","Solo","CO",2022-01-05 15:48:07
207,"Practice_207","Dental","6-20","FL",2016-12-16 09:00:14
208,"Practice_208","Orthopedics","2-5","CO",2016-05-02 13:32:02
209,"Practice_209","Dental","6-20","CA",2019-09-11 19:40:07
210,"Practice_210","Dental","Solo","NC",2021-01-22 02:36:56
211,"Practice_211","Physical Therapy","6-20","AZ",2017-09-02 03:00:38
212,"Practice_212","Orthopedics","Solo","GA",2015-11-25 05:05:07
213,"Practice_213","Orthopedics","Solo","CA",2024-07-17 22:26:17
214,"Practice_214","Dental","6-20","TX",2015-10-05 12:06:42
215,"Practice_215","Orthopedics","Solo","GA",2020-10-28 08:10:09
216,"Practice_216","Dental","2-5","GA",2020-07-20 06:35:42
217,"Practice_217","Pediatrics","2-5","AZ",2017-02-05 06:45:38
218,"Practice_218","Orthopedics","2-5","TX",2021-08-21 01:31:31
219,"Practice_219","Orthopedics","Solo","NY",2016-08-14 23:13:24
220,"Practice_220","Family Medicine","Solo","CA",2022-11-14 15:04:18
221,"Practice_221","Orthopedics","Solo","WA",2024-06-20 22:17:52
222,"Practice_222","Physical Therapy","2-5","IL",2018-01-18 20:33:21
223,"Practice_223","Dental","Solo","NC",2024-07-06 04:51:12
224,"Practice_224","Pediatrics","Solo","AZ",2023-04-06 14:07:38
225,"Practice_225","Pediatrics","Solo","NC",2016-11-06 03:27:52
226,"Practice_226","Dental","Solo","CA",2021-03-08 11:55:27
227,"Practice_227","Dermatology","2-5","TX",2015-12-19 20:43:35
228,"Practice_228","Pediatrics","6-20","WA",2015-03-22 12:31:51
229,"Practice_229","Family Medicine","Solo","IL",2018-04-16 13:43:18
230,"Practice_230","Orthopedics","2-5","CO",2023-11-27 12:25:47
231,"Practice_231","Family Medicine","2-5","WA",2019-02-21 07:13:39
232,"Practice_232","Physical Therapy","2-5","AZ",2020-11-25 20:25:02
233,"Practice_233","Physical Therapy","2-5","NC",2021-07-11 15:03:18
234,"Practice_234","Physical Therapy","2-5","WA",2018-10-11 20:52:53
235,"Practice_235","Dental","2-5","FL",2024-01-14 15:34:10
236,"Practice_236","Orthopedics","Solo","TX",2022-10-17 19:11:39
237,"Practice_237","Pediatrics","2-5","TX",2015-03-06 10:57:18
238,"Practice_238","Dental","2-5","FL",2017-02-24 10:01:51
239,"Practice_239","Orthopedics","Solo","GA",2024-06-11 02:28:28
240,"Practice_240","Dental","Solo","GA",2017-10-26 04:34:32
241,"Practice_241","Family Medicine","20+","CA",2020-06-03 09:53:10
242,"Practice_242","Dermatology","2-5","NY",2016-01-27 05:16:40
243,"Practice_243","Family Medicine","2-5","CO",2023-11-15 11:27:38
244,"Practice_244","Pediatrics","6-20","FL",2015-01-10 07:21:09
245,"Practice_245","Dental","2-5","CA",2023-06-04 23:18:53
246,"Practice_246","Family Medicine","2-5","NC",2015-04-28 09:18:30
247,"Practice_247","Physical Therapy","6-20","FL",2022-12-12 03:03:34
248,"Practice_248","Dermatology","6-20","NY",2020-10-23 15:37:07
249,"Practice_249","Dermatology","2-5","FL",2022-06-17 04:14:27
250,"Practice_250","Family Medicine","2-5","NY",2021-04-13 08:25:16
251,"Practice_251","Pediatrics","Solo","NY",2015-04-26 13:12:16
252,"Practice_252","Pediatrics","20+","NY",2017-06-23 23:46:39
253,"Practice_253","Family Medicine","2-5","TX",2021-02-18 01:51:54
254,"Practice_254","Pediatrics","Solo","WA",2015-06-27 08:55:02
255,"Practice_255","Dental","6-20","TX",2023-04-28 14:14:08
256,"Practice_256","Physical Therapy","2-5","CA",2023-08-15 19:31:54
257,"Practice_257","Family Medicine","Solo","TX",2024-06-21 10:18:10
258,"Practice_258","Orthopedics","2-5","TX",2017-09-14 00:18:19
259,"Practice_259","Physical Therapy","2-5","NC",2018-11-24 06:43:44
260,"Practice_260","Dental","6-20","FL",2016-12-16 20:00:13
261,"Practice_261","Orthopedics","Solo","TX",2020-10-08 09:58:04
262,"Practice_262","Dermatology","6-20","IL",2023-11-07 01:13:16
263,"Practice_263","Dental","2-5","NY",2017-12-25 19:11:26
264,"Practice_264","Physical Therapy","Solo","FL",2016-10-24 10:18:56
265,"Practice_265","Family Medicine","20+","GA",2024-12-14 13:22:19
266,"Practice_266","Orthopedics","2-5","NC",2017-04-10 01:16:45
267,"Practice_267","Orthopedics","Solo","WA",2023-06-07 03:59:18
268,"Practice_268","Orthopedics","2-5","NC",2023-08-11 18:52:09
269,"Practice_269","Pediatrics","6-20","NY",2017-05-30 17:23:23
270,"Practice_270","Pediatrics","Solo","FL",2015-11-23 18:09:53
271,"Practice_271","Family Medicine","Solo","WA",2017-03-29 05:19:54
272,"Practice_272","Family Medicine","Solo","CO",2018-12-22 03:34:10
273,"Practice_273","Family Medicine","Solo","AZ",2021-12-10 14:13:16
274,"Practice_274","Family Medicine","6-20","NC",2018-03-29 09:43:20
275,"Practice_275","Physical Therapy","2-5","WA",2020-04-12 23:36:29
276,"Practice_276","Physical Therapy","Solo","CA",2022-01-06 19:21:26
277,"Practice_277","Family Medicine","Solo","WA",2021-04-19 14:03:07
278,"Practice_278","Orthopedics","Solo","AZ",2018-09-12 03:52:05
279,"Practice_279","Orthopedics","6-20","NY",2015-11-07 20:19:52
280,"Practice_280","Family Medicine","Solo","FL",2017-08-21 06:58:26
281,"Practice_281","Family Medicine","20+","CO",2016-11-16 18:13:01
282,"Practice_282","Pediatrics","2-5","CA",2018-05-02 08:44:30
283,"Practice_283","Pediatrics","Solo","WA",2016-08-19 08:46:29
284,"Practice_284","Dental","6-20","IL",2023-11-13 10:10:10
285,"Practice_285","Physical Therapy","2-5","TX",2019-04-16 06:23:14
286,"Practice_286","Dental","2-5","NY",2015-06-30 13:20:19
287,"Practice_287","Physical Therapy","20+","NC",2021-12-05 00:32:55
288,"Practice_288","Physical Therapy","Solo","NC",2019-11-11 02:58:04
289,"Practice_289","Pediatrics","Solo","AZ",2024-01-20 01:37:52
290,"Practice_290","Physical Therapy","2-5","NY",2017-06-22 23:28:34
291,"Practice_291","Dental","Solo","CA",2017-09-26 08:03:25
292,"Practice_292","Dental","Solo","GA",2017-12-20 11:08:42
293,"Practice_293","Family Medicine","Solo","CO",2020-05-14 07:01:12
294,"Practice_294","Pediatrics","Solo","CA",2017-05-31 21:25:22
295,"Practice_295","Dental","6-20","CO",2023-10-26 15:05:05
296,"Practice_296","Physical Therapy","Solo","FL",2016-03-12 04:41:29
297,"Practice_297","Family Medicine","2-5","FL",2023-08-07 01:18:40
298,"Practice_298","Dental","2-5","NY",2015-03-27 17:47:20
299,"Practice_299","Orthopedics","2-5","NY",2024-08-31 02:20:39
300,"Practice_300","Dental","Solo","NC",2023-11-09 17:28:04
301,"Practice_301","Dental","6-20","TX",2017-09-06 23:50:25
302,"Practice_302","Physical Therapy","Solo","AZ",2022-04-18 18:50:22
303,"Practice_303","Physical Therapy","6-20","TX",2016-08-31 18:57:12
304,"Practice_304","Orthopedics","6-20","CA",2023-09-21 11:58:55
305,"Practice_305","Orthopedics","2-5","NC",2018-04-18 13:01:23
306,"Practice_306","Dermatology","2-5","CO",2017-12-24 01:46:49
307,"Practice_307","Physical Therapy","2-5","GA",2016-05-01 00:13:27
308,"Practice_308","Pediatrics","Solo","WA",2016-02-08 08:43:33
309,"Practice_309","Family Medicine","6-20","IL",2021-11-13 03:07:24
310,"Practice_310","Pediatrics","6-20","FL",2022-08-26 04:43:50
311,"Practice_311","Physical Therapy","Solo","TX",2016-10-29 16:38:38
312,"Practice_312","Dental","2-5","AZ",2024-11-18 06:55:07
313,"Practice_313","Dental","6-20","GA",2015-12-28 08:55:33
314,"Practice_314","Dermatology","20+","GA",2022-12-11 10:29:15
315,"Practice_315","Family Medicine","2-5","FL",2016-03-07 04:20:50
316,"Practice_316","Orthopedics","2-5","IL",2023-12-08 15:48:19
317,"Practice_317","Physical Therapy","Solo","NY",2020-06-23 13:52:57
318,"Practice_318","Dental","20+","GA",2021-12-29 22:59:24
319,"Practice_319","Dental","Solo","CA",2015-06-10 21:11:46
320,"Practice_320","Pediatrics","2-5","CA",2021-11-09 19:55:41
321,"Practice_321","Physical Therapy","Solo","NY",2021-11-08 04:10:46
322,"Practice_322","Orthopedics","Solo","CO",2016-10-18 19:18:33
323,"Practice_323","Orthopedics","2-5","NC",2021-11-11 04:01:47
324,"Practice_324","Pediatrics","20+","NY",2017-02-12 01:14:10
325,"Practice_325","Dermatology","Solo","IL",2022-06-05 12:31:53
326,"Practice_326","Orthopedics","2-5","CA",2019-08-07 00:48:28
327,"Practice_327","Physical Therapy","Solo","GA",2024-02-19 21:58:10
328,"Practice_328","Orthopedics","Solo","CA",2021-10-06 04:34:54
329,"Practice_329","Physical Therapy","2-5","WA",2020-07-30 17:21:43
330,"Practice_330","Dental","2-5","NC",2020-04-22 05:59:39
331,"Practice_331","Pediatrics","Solo","AZ",2021-07-06 15:17:07
332,"Practice_332","Family Medicine","Solo","WA",2021-10-01 09:13:41
333,"Practice_333","Dental","Solo","CO",2018-09-30 23:17:29
334,"Practice_334","Dental","Solo","FL",2018-08-18 14:54:57
335,"Practice_335","Dental","20+","WA",2022-09-15 08:56:38
336,"Practice_336","Dental","6-20","CO",2018-08-01 13:00:31
337,"Practice_337","Family Medicine","Solo","CO",2020-07-21 18:56:57
338,"Practice_338","Orthopedics","2-5","AZ",2020-08-13 18:14:18
339,"Practice_339","Physical Therapy","6-20","FL",2023-04-10 10:45:46
340,"Practice_340","Dental","Solo","TX",2018-03-03 05:46:26
341,"Practice_341","Physical Therapy","6-20","NY",2022-05-30 09:34:23
342,"Practice_342","Physical Therapy","6-20","GA",2018-10-22 11:46:33
343,"Practice_343","Dental","Solo","IL",2015-01-08 08:40:24
344,"Practice_344","Physical Therapy","Solo","IL",2016-06-24 21:13:31
345,"Practice_345","Pediatrics","20+","IL",2021-06-11 20:59:01
346,"Practice_346","Orthopedics","2-5","TX",2017-10-12 23:15:24
347,"Practice_347","Orthopedics","Solo","NY",2021-05-17 03:48:12
348,"Practice_348","Dental","Solo","IL",2024-09-13 02:35:55
349,"Practice_349","Pediatrics","2-5","NY",2024-03-31 00:56:00
350,"Practice_350","Orthopedics","2-5","GA",2024-02-22 12:32:51
351,"Practice_351","Physical Therapy","2-5","IL",2015-11-07 03:44:13
352,"Practice_352","Family Medicine","20+","FL",2023-06-12 20:41:30
353,"Practice_353","Orthopedics","Solo","CO",2020-03-20 08:40:14
354,"Practice_354","Dental","2-5","IL",2021-07-10 16:21:11
355,"Practice_355","Dental","2-5","NY",2024-05-21 12:27:20
356,"Practice_356","Orthopedics","2-5","CO",2017-06-24 01:17:55
357,"Practice_357","Dental","Solo","AZ",2016-07-27 21:06:58
358,"Practice_358","Physical Therapy","20+","IL",2018-10-08 11:19:02
359,"Practice_359","Family Medicine","6-20","IL",2023-10-04 08:44:48
360,"Practice_360","Physical Therapy","2-5","WA",2016-12-20 01:58:00
361,"Practice_361","Pediatrics","2-5","CO",2020-10-19 00:24:12
362,"Practice_362","Orthopedics","Solo","IL",2024-07-28 05:51:19
363,"Practice_363","Physical Therapy","2-5","FL",2023-10-04 07:12:23
364,"Practice_364","Physical Therapy","2-5","GA",2020-02-27 13:49:46
365,"Practice_365","Family Medicine","2-5","CO",2024-06-27 04:35:09
366,"Practice_366","Pediatrics","20+","GA",2018-10-14 13:10:30
367,"Practice_367","Dermatology","2-5","NC",2017-06-15 09:33:22
368,"Practice_368","Family Medicine","Solo","NY",2020-06-23 16:23:50
369,"Practice_369","Dental","6-20","AZ",2016-09-20 11:12:53
370,"Practice_370","Dental","Solo","WA",2023-11-12 23:45:29
371,"Practice_371","Dental","Solo","FL",2022-11-03 09:08:16
372,"Practice_372","Dental","Solo","AZ",2019-02-11 14:07:09
373,"Practice_373","Dental","2-5","WA",2024-12-02 20:13:19
374,"Practice_374","Orthopedics","6-20","AZ",2015-10-20 00:08:18
375,"Practice_375","Dental","2-5","AZ",2023-08-30 08:43:53
376,"Practice_376","Pediatrics","6-20","CA",2019-07-31 00:52:16
377,"Practice_377","Family Medicine","2-5","NY",2015-08-11 18:51:48
378,"Practice_378","Dental","Solo","TX",2024-08-17 18:21:54
379,"Practice_379","Family Medicine","6-20","WA",2015-03-03 06:41:52
380,"Practice_380","Pediatrics","Solo","FL",2018-04-09 02:04:33
381,"Practice_381","Dental","Solo","CO",2020-11-04 08:49:56
382,"Practice_382","Orthopedics","2-5","AZ",2019-02-20 05:57:46
383,"Practice_383","Orthopedics","Solo","AZ",2022-03-18 22:57:54
384,"Practice_384","Family Medicine","Solo","WA",2018-05-17 08:29:41
385,"Practice_385","Orthopedics","2-5","NC",2022-08-25 17:40:33
386,"Practice_386","Family Medicine","2-5","TX",2022-08-31 23:21:51
387,"Practice_387","Pediatrics","2-5","AZ",2023-01-10 16:55:29
388,"Practice_388","Dental","20+","IL",2018-11-20 23:33:00
389,"Practice_389","Family Medicine","2-5","CA",2017-06-05 08:46:07
390,"Practice_390","Family Medicine","6-20","GA",2017-11-03 09:49:59
391,"Practice_391","Dermatology","Solo","CA",2022-07-01 19:29:46
392,"Practice_392","Physical Therapy","2-5","TX",2023-03-13 17:13:43
393,"Practice_393","Pediatrics","6-20","IL",2016-08-05 15:31:01
394,"Practice_394","Family Medicine","2-5","CA",2016-06-01 08:25:26
